eurostat_code,iso_alpha2,iso_alpha3,country_name
AT,AT,AUT,Austria
BE,BE,BEL,Belgium
BG,BG,BGR,Bulgaria
CY,CY,CYP,Cyprus
CZ,CZ,CZE,Czechia
DE,DE,DEU,Germany
DK,DK,DNK,Denmark
EE,EE,EST,Estonia
EL,GR,GRC,Greece
ES,ES,ESP,Spain
FI,FI,FIN,Finland
FR,FR,FRA,France
HR,HR,HRV,Croatia
HU,HU,HUN,Hungary
IE,IE,IRL,Ireland
IT,IT,ITA,Italy
LT,LT,LTU,Lithuania
LU,LU,LUX,Luxembourg
LV,LV,LVA,Latvia
MT,MT,MLT,Malta
NL,NL,NLD,Netherlands
PL,PL,POL,Poland
PT,PT,PRT,Portugal
RO,RO,ROU,Romania
SE,SE,SWE,Sweden
SI,SI,SVN,Slovenia
SK,SK,SVK,Slovakia
UK,GB,GBR,United Kingdom
